"smoothLatitude","smoothLongitude","smoothElevation","smoothGentimeSec","ID"
42.2915500000429,-83.7232700000555,252.694877495593,351277766.1,"ID180029190037582-30640"
42.2915500000349,-83.7232700000464,252.695459807207,351277766.2,"ID180029190037582-30640"
42.2915500000269,-83.7232700000373,252.69604211882,351277766.3,"ID180029190037582-30640"
42.2915500000189,-83.7232700000283,252.696624430434,351277766.4,"ID180029190037582-30640"
42.2915500000109,-83.7232700000192,252.697206742047,351277766.5,"ID180029190037582-30640"
42.2915500000029,-83.7232700000101,252.697789053661,351277766.6,"ID180029190037582-30640"
42.2915499999954,-83.7232700000017,252.698218675179,351277766.7,"ID180029190037582-30640"
42.2915499999878,-83.7232699999932,252.698648296697,351277766.8,"ID180029190037582-30640"
42.2915499999803,-83.7232699999848,252.699077918215,351277766.9,"ID180029190037582-30640"
42.2915499999727,-83.7232699999763,252.699507539733,351277767,"ID180029190037582-30640"
42.2915499999652,-83.7232699999679,252.699937161251,351277767.1,"ID180029190037582-30640"
42.2915499999632,-83.7232699999653,252.69994950039,351277767.2,"ID180029190037582-30640"
42.2915499999613,-83.7232699999628,252.699961839529,351277767.3,"ID180029190037582-30640"
42.2915499999593,-83.7232699999602,252.699974178668,351277767.4,"ID180029190037582-30640"
42.2915499999573,-83.7232699999577,252.699986517808,351277767.5,"ID180029190037582-30640"
42.2915499999554,-83.7232699999551,252.699998856947,351277767.6,"ID180029190037582-30640"
42.2915499999563,-83.7232699999568,252.69999945168,351277767.7,"ID180029190037582-30640"
42.2915499999573,-83.7232699999585,252.700000046412,351277767.8,"ID180029190037582-30640"
42.2915499999582,-83.7232699999602,252.700000641145,351277767.9,"ID180029190037582-30640"
42.2915499999592,-83.7232699999619,252.700001235877,351277768,"ID180029190037582-30640"
42.2915499999602,-83.7232699999636,252.70000183061,351277768.1,"ID180029190037582-30640"
42.2915499999614,-83.723269999966,252.700650309366,351277768.2,"ID180029190037582-30640"
42.2915499999626,-83.7232699999684,252.701298788122,351277768.3,"ID180029190037582-30640"
42.2915499999638,-83.7232699999707,252.701947266878,351277768.4,"ID180029190037582-30640"
42.291549999965,-83.7232699999731,252.702595745634,351277768.5,"ID180029190037582-30640"
42.2915499999662,-83.7232699999755,252.70324422439,351277768.6,"ID180029190037582-30640"
42.291549999965,-83.7232699999737,252.709508548253,351277768.7,"ID180029190037582-30640"
42.2915499999637,-83.7232699999719,252.715772872115,351277768.8,"ID180029190037582-30640"
42.2915499999625,-83.7232699999701,252.722037195977,351277768.9,"ID180029190037582-30640"
42.2915499999612,-83.7232699999683,252.72830151984,351277769,"ID180029190037582-30640"
42.29154999996,-83.7232699999665,252.734565843702,351277769.1,"ID180029190037582-30640"
42.2915499999601,-83.7232699999666,252.742410509607,351277769.2,"ID180029190037582-30640"
42.2915499999603,-83.7232699999668,252.750255175511,351277769.3,"ID180029190037582-30640"
42.2915499999604,-83.7232699999669,252.758099841416,351277769.4,"ID180029190037582-30640"
42.2915499999605,-83.7232699999671,252.765944507321,351277769.5,"ID180029190037582-30640"
42.2915499999607,-83.7232699999673,252.773789173226,351277769.6,"ID180029190037582-30640"
42.2915499999623,-83.7232699999696,252.778814938599,351277769.7,"ID180029190037582-30640"
42.2915499999639,-83.7232699999719,252.783840703973,351277769.8,"ID180029190037582-30640"
42.2915499999655,-83.7232699999742,252.788866469347,351277769.9,"ID180029190037582-30640"
42.2915499999671,-83.7232699999766,252.79389223472,351277770,"ID180029190037582-30640"
42.2915499999687,-83.7232699999789,252.798918000094,351277770.1,"ID180029190037582-30640"
42.2915499999692,-83.7232699999797,252.799137887206,351277770.2,"ID180029190037582-30640"
42.2915499999697,-83.7232699999806,252.799357774319,351277770.3,"ID180029190037582-30640"
42.2915499999703,-83.7232699999814,252.799577661431,351277770.4,"ID180029190037582-30640"
42.2915499999708,-83.7232699999823,252.799797548543,351277770.5,"ID180029190037582-30640"
42.2915499999713,-83.7232699999831,252.800017435656,351277770.6,"ID180029190037582-30640"
42.2915499999689,-83.7232699999788,252.800835196659,351277770.7,"ID180029190037582-30640"
42.2915499999665,-83.7232699999745,252.801652957662,351277770.8,"ID180029190037582-30640"
42.2915499999641,-83.7232699999702,252.802470718666,351277770.9,"ID180029190037582-30640"
42.2915499999617,-83.723269999966,252.803288479669,351277771,"ID180029190037582-30640"
42.2915499999593,-83.7232699999617,252.804106240673,351277771.1,"ID180029190037582-30640"
42.2915499999592,-83.7232699999614,252.811039701376,351277771.2,"ID180029190037582-30640"
42.291549999959,-83.7232699999611,252.817973162079,351277771.3,"ID180029190037582-30640"
42.2915499999589,-83.7232699999609,252.824906622782,351277771.4,"ID180029190037582-30640"
42.2915499999588,-83.7232699999606,252.831840083485,351277771.5,"ID180029190037582-30640"
42.2915499999586,-83.7232699999603,252.838773544188,351277771.6,"ID180029190037582-30640"
42.2915499999602,-83.723269999963,252.846774463676,351277771.7,"ID180029190037582-30640"
42.2915499999619,-83.7232699999657,252.854775383163,351277771.8,"ID180029190037582-30640"
42.2915499999635,-83.7232699999684,252.862776302651,351277771.9,"ID180029190037582-30640"
42.2915499999651,-83.723269999971,252.870777222139,351277772,"ID180029190037582-30640"
42.2915499999667,-83.7232699999737,252.878778141627,351277772.1,"ID180029190037582-30640"
42.291549999969,-83.7232699999776,252.884664651643,351277772.2,"ID180029190037582-30640"
42.2915499999712,-83.7232699999815,252.890551161659,351277772.3,"ID180029190037582-30640"
42.2915499999735,-83.7232699999854,252.896437671675,351277772.4,"ID180029190037582-30640"
